x,result
2.000000,0.106672
2.100000,0.123574
2.200000,0.141015
2.300000,0.158920
2.400000,0.177223
2.500000,0.195865
2.600000,0.214799
2.700000,0.233981
2.800000,0.253375
2.900000,0.272948
3.000000,0.292672
3.100000,0.312522
3.200000,0.332475
3.300000,0.352513
3.400000,0.372619
3.500000,0.392776
3.600000,0.412972
3.700000,0.433195
3.800000,0.453434
3.900000,0.473679
4.000000,0.493922
4.100000,0.514156
4.200000,0.534373
4.300000,0.554567
4.400000,0.574733
4.500000,0.594866
4.600000,0.614962
4.700000,0.635016
4.800000,0.655026
4.900000,0.674989
5.000000,0.694900
5.100000,0.714758
5.200000,0.734562
5.300000,0.754307
5.400000,0.773994
5.500000,0.793620
5.600000,0.813185
5.700000,0.832686
5.800000,0.852123
5.900000,0.871494
6.000000,0.890800
6.100000,0.910040
6.200000,0.929212
6.300000,0.948316
6.400000,0.967353
6.500000,0.986321
6.600000,1.005221
6.700000,1.024052
6.800000,1.042814
6.900000,1.061507
7.000000,1.080131
7.100000,1.098686
7.200000,1.117172
7.300000,1.135589
7.400000,1.153938
7.500000,1.172218
7.600000,1.190430
7.700000,1.208574
7.800000,1.226650
7.900000,1.244658
8.000000,1.262600
8.100000,1.280474
8.200000,1.298281
8.300000,1.316022
8.400000,1.333697
8.500000,1.351307
8.600000,1.368851
8.700000,1.386330
8.800000,1.403745
8.900000,1.421095
9.000000,1.438382
9.100000,1.455605
9.200000,1.472765
9.300000,1.489863
9.400000,1.506898
9.500000,1.523872
9.600000,1.540784
9.700000,1.557636
9.800000,1.574426
9.900000,1.591157
10.000000,1.607828
10.100000,1.624440
10.200000,1.640993
10.300000,1.657487
10.400000,1.673924
10.500000,1.690303
10.600000,1.706624
10.700000,1.722889
10.800000,1.739098
10.900000,1.755250
11.000000,1.771347
11.100000,1.787389
11.200000,1.803376
11.300000,1.819309
11.400000,1.835188
11.500000,1.851013
11.600000,1.866785
11.700000,1.882504
11.800000,1.898171
11.900000,1.913786
12.000000,1.929349
12.100000,1.944861
12.200000,1.960322
12.300000,1.975733
12.400000,1.991093
12.500000,2.006404
12.600000,2.021665
12.700000,2.036877
12.800000,2.052041
12.900000,2.067156
13.000000,2.082224
13.100000,2.097243
13.200000,2.112216
13.300000,2.127141
13.400000,2.142020
13.500000,2.156853
13.600000,2.171639
13.700000,2.186380
13.800000,2.201076
13.900000,2.215727
14.000000,2.230333
14.100000,2.244895
14.200000,2.259413
14.300000,2.273887
14.400000,2.288318
14.500000,2.302706
14.600000,2.317051
14.700000,2.331354
14.800000,2.345614
14.900000,2.359833
15.000000,2.374009
15.100000,2.388145
15.200000,2.402240
15.300000,2.416294
15.400000,2.430307
15.500000,2.444280
15.600000,2.458214
15.700000,2.472107
15.800000,2.485962
15.900000,2.499777
16.000000,2.513553
16.100000,2.527291
16.200000,2.540991
16.300000,2.554652
16.400000,2.568276
16.500000,2.581862
16.600000,2.595411
16.700000,2.608922
16.800000,2.622397
16.900000,2.635836
17.000000,2.649238
17.100000,2.662604
17.200000,2.675934
17.300000,2.689228
17.400000,2.702487
17.500000,2.715711
17.600000,2.728900
17.700000,2.742054
17.800000,2.755174
17.900000,2.768259
18.000000,2.781310
18.100000,2.794328
18.200000,2.807312
18.300000,2.820262
18.400000,2.833179
18.500000,2.846063
18.600000,2.858915
18.700000,2.871734
18.800000,2.884520
18.900000,2.897274
19.000000,2.909996
19.100000,2.922687
19.200000,2.935345
19.300000,2.947973
19.400000,2.960569
19.500000,2.973134
19.600000,2.985668
19.700000,2.998171
19.800000,3.010644
19.900000,3.023087
20.000000,3.035499
20.100000,3.047882
20.200000,3.060235
20.300000,3.072558
20.400000,3.084851
20.500000,3.097116
20.600000,3.109351
20.700000,3.121558
20.800000,3.133736
20.900000,3.145885
21.000000,3.158005
21.100000,3.170098
21.200000,3.182162
21.300000,3.194199
21.400000,3.206207
21.500000,3.218188
21.600000,3.230142
21.700000,3.242068
21.800000,3.253967
21.900000,3.265839
